plant_code,group_code,group_name,subgroup_code,subgroup_name,equipment_code,equipment_name,equipment_description,equipment_type,equipment_manufacturer,equipment_model,equipment_serial_number,equipment_voltage_class,equipment_phase_type,equipment_start_date,equipment_latitude,equipment_longitude
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-AT500,Módulo AT500,N-S-MAIZ-AT701-AT500-IZST21A,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,ALCALASSER ELETROMECANICA SA,SAMB,,500.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-AT500,Módulo AT500,N-S-MAIZ-AT701-AT500-IZST21B,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,ALCALASSER ELETROMECANICA SA,SAMB,,500.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC500,Módulo MC500,N-S-MAIZ-AT701-MC500-IZST701,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,MAGRINI GALILEO,MSA 550/L,138047 (A;B;V),500.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC500,Módulo MC500,N-S-MAIZ-AT701-MC500-IZSD704,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,LORENZETTI,EV,0029 A;B;V,500.000,THREE_PHASE,1988-10-31,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-MC230,Módulo MC230,N-S-MAIZ-AT702-MC230-IZSY601,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,DISCONNECT_SWITCH,SIEMENS,EVL,1068/2010,230.000,THREE_PHASE,2012-02-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-MC230,Módulo MC230,N-S-MAIZ-AT702-MC230-IZSD601,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,DISCONNECT_SWITCH,SIEMENS,EVL,1067/2010,230.000,THREE_PHASE,2012-02-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-MC230,Módulo MC230,N-S-MAIZ-AT702-MC230-IZSD602,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,DISCONNECT_SWITCH,SIEMENS,EVL,1066/2010,230.000,THREE_PHASE,2012-02-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-MC230,Módulo MC230,N-S-MAIZ-AT702-MC230-IZSB602,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,DISCONNECT_SWITCH,SIEMENS,EVL,1064/2010,230.000,THREE_PHASE,2012-02-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-MC500,Módulo MC500,N-S-MAIZ-AT702-MC500-IZSD740,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,DISCONNECT_SWITCH,SIEMENS,EVL,1070/2010,500.000,THREE_PHASE,2012-02-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-MC500,Módulo MC500,N-S-MAIZ-AT702-MC500-IZSD739,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,DISCONNECT_SWITCH,SIEMENS,EVL,1071/2010,500.000,THREE_PHASE,2012-02-11,NULL,NULL
